FlowNo,FirstSentTime,LastReceivedTime,FromIP,ToIP,SendToPort,ReceivedFromPort,SentFrameSize,ReceivedFrameSize,SentData,ReceivedData,Protocol,TransactionTime,HasSubFlow,isAbnormal
4,2019-3-8 16:14:30.595235,2019-3-8 16:14:30.675666,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:01:00:00,eth:ethertype:ip:udp:data,80.0,false,false
1,2019-3-8 16:14:30.595166,2019-3-8 16:14:30.682932,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,87.0,false,false
2,2019-3-8 16:14:30.595193,2019-3-8 16:14:30.687952,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,92.0,false,false
3,2019-3-8 16:14:30.595211,2019-3-8 16:14:30.697209,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,101.0,false,false
8,2019-3-8 16:14:31.595501,2019-3-8 16:14:31.668567,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:01:00:00,eth:ethertype:ip:udp:data,73.0,false,false
5,2019-3-8 16:14:31.595421,2019-3-8 16:14:31.672891,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,77.0,false,false
6,2019-3-8 16:14:31.595449,2019-3-8 16:14:31.674904,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,79.0,false,false
7,2019-3-8 16:14:31.595469,2019-3-8 16:14:31.685140,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,89.0,false,false
12,2019-3-8 16:14:32.595764,2019-3-8 16:14:32.659373,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:01:00:00,eth:ethertype:ip:udp:data,63.0,false,false
9,2019-3-8 16:14:32.595685,2019-3-8 16:14:32.661913,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,66.0,false,false
10,2019-3-8 16:14:32.595708,2019-3-8 16:14:32.662639,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,66.0,false,false
